nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-06-01T00:00:00Z,mean,4.97231258420234
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-06-01T00:00:00Z,sd,3.3153612898437173
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-07-01T00:00:00Z,mean,5.073576894529323
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-07-01T00:00:00Z,sd,3.462624579066377
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-08-01T00:00:00Z,mean,5.295039977640547
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-08-01T00:00:00Z,sd,3.753307110236958
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-09-01T00:00:00Z,mean,5.392361556278899
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-09-01T00:00:00Z,sd,3.929604831053868
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-10-01T00:00:00Z,mean,5.558875738464772
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-10-01T00:00:00Z,sd,4.06968990004517
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-11-01T00:00:00Z,mean,5.943019359511264
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-11-01T00:00:00Z,sd,4.526417993733892
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-12-01T00:00:00Z,mean,6.169406961253348
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-12-01T00:00:00Z,sd,4.835709643381381
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-01-01T00:00:00Z,mean,6.281206001309639
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-01-01T00:00:00Z,sd,5.029469091419442
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-02-01T00:00:00Z,mean,6.157033328997328
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-02-01T00:00:00Z,sd,5.007999494017668
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-03-01T00:00:00Z,mean,5.378756794365162
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-03-01T00:00:00Z,sd,4.005702479754258
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-04-01T00:00:00Z,mean,5.123835035619583
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-04-01T00:00:00Z,sd,3.656978397464016
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-05-01T00:00:00Z,mean,5.095721644448473
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1998-05-01T00:00:00Z,sd,3.5537371269881626
