nms,dataset,var,time,stat
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_284,2016-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_285,2016-09-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_285,2016-09-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_286,2016-10-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_286,2016-10-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_287,2016-11-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_287,2016-11-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_288,2016-12-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_288,2016-12-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_289,2017-01-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_289,2017-01-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_29,1995-05-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_29,1995-05-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_290,2017-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_290,2017-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_291,2017-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_291,2017-03-01T00:00:00Z,sd
